QQP_id	PPDB_id	sent1	sent2	paraphrase1	paraphrase2	label
70.0	641086.0	What are the types of immunity?	What are the different types of immunity in our body?	 the types of 	 the different types of 	0
70.0	641090.0	What are the types of immunity?	What are the different types of immunity in our body?	 the types of 	 the different types of 	0
70.0	894710.0	What are the types of immunity?	What are the different types of immunity in our body?	 types of 	 the different types of 	0
70.0	1497847.0	What are the types of immunity?	What are the different types of immunity in our body?	 the types 	 the different types 	0
111.0	173763.0	Is USA the most powerful country of the world?	Why is the USA the most powerful country of the world?	 most powerful 	 powerful 	0
118.0	992891.0	What are some mind-blowing computer tools that exist that most people don't know about?	What are some mind-blowing technologies that exist that most people don't know about?	 most people 	 most 	0
136.0	1055794.0	Does it matter whether humans are selfish or evil?	Does it matter whether humanity is evil or not?	 matter whether 	 whether 	1
147.0	1484541.0	In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?	In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?	 how many 	 how 	0
188.0	219627.0	Is it possible to pursue many different things in life?	How do I refuse to chose between different things to do in my life?	 many different 	 different 	1
188.0	257239.0	Is it possible to pursue many different things in life?	How do I refuse to chose between different things to do in my life?	 different things 	 things 	1
199.0	82997.0	What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?	What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?	 the effects of 	 the impact of 	1
199.0	943115.0	What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?	What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?	 effects of 	 impact of 	1
199.0	1143818.0	What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?	What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?	 the effects 	 the impact 	1
216.0	401040.0	I got a 3.8 GPA. Is it enough to get into top universities like Harvard?	Is a 3.8 GPA sufficient to get into a top school?	 enough to 	 sufficient to 	1
251.0	1526576.0	How accurately can a mental illness can be diagnosed?	How can I accurately diagnose and medicate my mental illness?	 mental illness 	 mental 	1
353.0	33208.0	What are the most important books ever written?	What is the most important book you have ever read?	 most important 	 important 	1
353.0	722349.0	What are the most important books ever written?	What is the most important book you have ever read?	 most important 	 important 	1
353.0	832270.0	What are the most important books ever written?	What is the most important book you have ever read?	 are the most important 	 the most 	1
398.0	1392512.0	I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?	I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?	 friends 	 best friends 	0
410.0	740648.0	How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?	How much can a person's DNA change from birth to death in a life span of approximately 70 years?	 70 years 	 70 	1
446.0	149481.0	When is it too late to learn the piano?	I'm almost 40. Is it too late for me to learn piano?	 too late 	 late 	1
446.0	255018.0	When is it too late to learn the piano?	I'm almost 40. Is it too late for me to learn piano?	 too late 	 late 	1
476.0	1076898.0	Can climate change be reversed?	Can the global climate change be reversed or halted?	 climate change 	 climate 	1
494.0	688074.0	Which country is best for higher education and work?	Which is the best country for higher education after USA and UK?	 higher education 	 higher 	0
545.0	1310937.0	What does it feel like to be beautiful?	What does it feel like to be attractive and desired by many?	 feel like 	 like 	0
553.0	765162.0	What are the best daily life hacks one can use to make his life easy?	What are the hacks in daily life?	 daily life 	 daily 	1
575.0	257977.0	How do I start a solar energy business in egypt?	How do I start solar energy business?	 solar energy 	 solar 	0
575.0	1254812.0	How do I start a solar energy business in egypt?	How do I start solar energy business?	 solar 	 solar energy 	0
582.0	583603.0	Why India does not have friendly relations with it's neighbouring countries?	How are India's relations with the U.S.A.?	 friendly relations 	 relations 	0
590.0	526490.0	What is the meaning of life? Whats our purpose on Earth?	What do you feel is the purpose of life?	 is the meaning of 	 is the purpose of 	1
612.0	1165422.0	What is the best way to invest in oil and natural gas?	What is the minimum investment If I want to buy oil and gas royalties?	 invest in 	 investment 	0
632.0	64791.0	Will it help CIBIL score if I pay off my written-off amount?	Does my CIBIL score gets impacted if I only pay the minimum due amount?	 pay off 	 pay 	0
648.0	695989.0	How do I find love in life?	How do I find the love of my life?	 find love 	 love 	1
654.0	495886.0	Where can I get super high quality photos for any photo booth services in Sydney?	Where can I get professional photo booths service in Sydney?	 services in 	 service 	1
654.0	703361.0	Where can I get super high quality photos for any photo booth services in Sydney?	Where can I get professional photo booths service in Sydney?	 services in 	 service in 	1
660.0	1206976.0	What are the best available smartphones gadgets?	What are some of the best smartphones technology gadgets?	 best available 	 the best 	1
660.0	1398358.0	What are the best available smartphones gadgets?	What are some of the best smartphones technology gadgets?	 best available 	 best 	1
660.0	1414594.0	What are the best available smartphones gadgets?	What are some of the best smartphones technology gadgets?	 the best available 	 the best 	1
663.0	577157.0	What happens if dictatorship is continuing in the present days?	What happens if a dictatorship continues in the present day?	 is continuing 	 continues in 	1
663.0	1267817.0	What happens if dictatorship is continuing in the present days?	What happens if a dictatorship continues in the present day?	 continuing in 	 continues in 	1
691.0	226990.0	Why students run away from home?	Why do people run away from home?	 run away 	 run 	0
691.0	1177317.0	Why students run away from home?	Why do people run away from home?	 run away 	 run 	0
724.0	103288.0	What is the most beautiful thing that you have ever seen?	What is the most beautiful thing ever built?	 most beautiful 	 beautiful 	0
732.0	285878.0	Which were some of the most amazing responses you have got with Cortana, Siri or Amazon Echo?	What are some of the most amazing concepts given by theoretical physicists which cannot be proved in reality or are too advanced to prove with available resources/technologies?	 most amazing 	 amazing 	0
732.0	588713.0	Which were some of the most amazing responses you have got with Cortana, Siri or Amazon Echo?	What are some of the most amazing concepts given by theoretical physicists which cannot be proved in reality or are too advanced to prove with available resources/technologies?	 amazing 	 most amazing 	0
733.0	27935.0	What is most important in life - money or values?	What is more important money or respect?	 is most important 	 is more important 	0
733.0	33208.0	What is most important in life - money or values?	What is more important money or respect?	 most important 	 important 	0
733.0	40606.0	What is most important in life - money or values?	What is more important money or respect?	 is most important 	 is more important 	0
733.0	360227.0	What is most important in life - money or values?	What is more important money or respect?	 is most important 	 important 	0
733.0	722349.0	What is most important in life - money or values?	What is more important money or respect?	 most important 	 important 	0
733.0	861111.0	What is most important in life - money or values?	What is more important money or respect?	 most important 	 more important 	0
733.0	1271157.0	What is most important in life - money or values?	What is more important money or respect?	 most important 	 more important 	0
735.0	413574.0	Should the Indian education system be changed?	Do we need to change the  education system of India? If yes then why?	 education system 	 education 	1
735.0	432593.0	Should the Indian education system be changed?	Do we need to change the  education system of India? If yes then why?	 education system 	 education 	1
739.0	149481.0	Is it too late to go to medical school and become a doctor?	Is it too late to go to medical school at 24?	 too late 	 late 	1
739.0	255018.0	Is it too late to go to medical school and become a doctor?	Is it too late to go to medical school at 24?	 too late 	 late 	1
769.0	928727.0	Which universities in the US offer more management content in the management information systems curriculum?	Which universities in the US offer a more technical content in the management information systems curriculum?	 management information 	 management 	0
769.0	1260395.0	Which universities in the US offer more management content in the management information systems curriculum?	Which universities in the US offer a more technical content in the management information systems curriculum?	 information systems 	 systems 	0
795.0	279879.0	What are the winter weather conditions like in Cincinnati, OH?	What is the weather like during winter in Tel Aviv?	 weather conditions 	 weather 	0
880.0	1396380.0	Are there any telescopes powerful enough to view evidence left behind from NASA's moon landings?	Do we have telescopes powerful enough nowadays to see the man-made objects left on the moon by the Apollo missions, proving 100% that humans did in fact land there?	 left behind 	 left 	1
886.0	1310937.0	What does a wet vagina feel like for a man?	Why does it feel like there is a ball in my vagina?	 feel like 	 like 	0
938.0	15890.0	Why does the caste system still exist in India?	Why does the caste system exist in India even after 7 decades of Independence?	 still exist 	 exist 	1
945.0	239527.0	What are the easy ways to earn money online?	How can I earn money on internet?	 earn money 	 earn 	1
1073.0	599990.0	What is the average salary of a physician in india?	What is the salary of a doctor in India?	 a physician 	 a doctor 	1
1127.0	859154.0	How can we improve the education system for high school and college?	How can you improve high school education?	 high school 	 school 	1
1175.0	1394869.0	Is this the real life or is this some fantasy?	Queen (band): Is this the real life, or is this just fantasy?	 real life 	 real 	1
1234.0	114091.0	Why do some old computer games run very fast on new, powerful computers?	What is one key criteria or computer part that makes a computer fast for gaming?	 very fast 	 fast 	0
1234.0	139488.0	Why do some old computer games run very fast on new, powerful computers?	What is one key criteria or computer part that makes a computer fast for gaming?	 very fast 	 fast 	0
1326.0	413574.0	Why does the Indian education system suck?	What is wrong with Indian engineering education system?	 education system 	 education 	1
1326.0	432593.0	Why does the Indian education system suck?	What is wrong with Indian engineering education system?	 education system 	 education 	1
1369.0	1154307.0	Should India buy some lands from Nepal in order to widen Siliguri Corridor to get easy access to northeast India?	Can Indian government swap some land area with Bangladesh so that the Chicken's neck corridor can be widened to 100+ kilometers?	 lands from 	 land area 	0
1378.0	1165422.0	What is a company to invest in vietnam?	How do I get investment for a business in Vietnam?	 invest in 	 investment 	0
1470.0	234683.0	How much does an Ola Mini cab earn on average per month from an investor's point of view in Mumbai?	How much does an Ola Mini cab earn on average per month from an investor's point of view in Bangalore?	 per month 	 month 	0
1515.0	467444.0	In the world, we are second largest country in terms of population, but we win only very few medals in the Olympics. Why?	If India is the second largest in population, why do they not have Olympic medals like China or the US?	 second largest 	 second 	1
