TRAIN_PAWS_QQP_id	PPDB_id	sent1	sent2	paraphrase1	paraphrase2	labels1	labels2	Ground Label
4	44326	b'What are the most common traffic convictions in Arizona , and how does the severity of the convictions differ in Arkansas ?'	b'What are the most common traffic convictions in Arkansas , and how does the severity of the convictions differ in Arizona ?'	 most common 	 common 	O O O B E O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O O O	0
10	103288	b'Which are in your opinion the most beautiful and the most depressing truths about life ?'	b'Which are in your opinion the most depressing and the most beautiful truths about life ?'	 most beautiful 	 beautiful 	O O O O O O B E O O O O O O O O	O O O O O O O O O O O S O O O O	1
14	316010	b'Is nuclear energy renewable energy ?'	"b""`` Is nuclear energy `` renewable energy `` ? ''"""	 nuclear energy 	 nuclear 	O B E O O O	O O S O O O O O O O	1
18	526060	b'What ancient units would definitely win in a 1v1 fight against numerous modern units ?'	b'What numerous modern units would definitely win in a 1v1 fight against ancient units ?'	 fight against 	 fight 	O O O O O O O O O B E O O O O	O O O O O O O O O O S O O O O	0
61	43995	b'I have only a very nice startup idea but I m not good in webdevloping and programming yet ?'	b'I have only a very good startup idea but I m not nice in webdevloping and programming yet ?'	 very nice 	 nice 	O O O O B E O O O O O O O O O O O O O	O O O O O O O O O O O O S O O O O O O	1
61	464375	b'I have only a very nice startup idea but I m not good in webdevloping and programming yet ?'	b'I have only a very good startup idea but I m not nice in webdevloping and programming yet ?'	 very nice 	 nice 	O O O O B E O O O O O O O O O O O O O	O O O O O O O O O O O O S O O O O O O	1
65	566357	b'Do women feel more heat than men , given that they wear less clothing ( per unit surface area ) than men ?'	b'Do women feel less heat than men , given that they wear more clothing ( per unit surface area ) than men ?'	 surface area 	 surface 	O O O O O O O O O O O O O O O O O B E O O O O	O O O O O O O O O O O O O O O O O S O O O O O	0
82	321222	b'Why does volumetric strain volume of a solid body always decrease and not increase ? If it does please give an example .'	b'Why does volumetric strain volume of a solid body always increase and not decrease ? If it does please give an example .'	 give an example 	 example 	O O O O O O O O O O O O O O O O O O O B I E O	O O O O O O O O O O O O O O O O O O O O O S O	0
119	44326	b'What are the most common fee structures charged for PPC Management being used by individuals and companies today ?'	b'What are the most common fee structures used for PPC Management being charged by individuals and companies today ?'	 most common 	 common 	O O O B E O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O	0
133	560981	"b""I just turned 13 and I was about 5 '4 . How much should I weigh ? I was around 150 pounds . Am I healthy ?"""	"b""I just turned 13 and I 'm around 5 '4 . How much should I weigh ? I 'm about 150 pounds . Am I healthy ?"""	 around 150 	 about 150 	O O O O O O O O O O O O O O O O O O O B E O O O O O O	O O O O O O O O O O O O O O O O O O O B E O O O O O O	1
143	167289	"b""`` Is 1 month too early to say `` I love you `` ? What is the next level in the relationship ? ''"""	b'Is 1 month too early to say I love you ? What is the next level in the relationship ?'	 too early 	 early 	O O O O B E O O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O	1
143	184768	"b""`` Is 1 month too early to say `` I love you `` ? What is the next level in the relationship ? ''"""	b'Is 1 month too early to say I love you ? What is the next level in the relationship ?'	 too early 	 early 	O O O O B E O O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O	1
166	21353	b'I have been lifting very heavy for 11 months , but the progress if pretty small .'	b'I have been lifting pretty heavy for 11 months , but the progress is very small .'	 very heavy 	 heavy 	O O O O B E O O O O O O O O O O O	O O O O O S O O O O O O O O O O O	0
173	80531	b'How do I show the value of jtree check box and get it somewhere else in java swing ?'	b'How do I get the value of jtree check box and show it somewhere else in java swing ?'	 somewhere else 	 somewhere 	O O O O O O O O O O O O O B E O O O O	O O O O O O O O O O O O O S O O O O O	0
173	198808	b'How do I show the value of jtree check box and get it somewhere else in java swing ?'	b'How do I get the value of jtree check box and show it somewhere else in java swing ?'	 somewhere else 	 somewhere 	O O O O O O O O O O O O O B E O O O O	O O O O O O O O O O O O O S O O O O O	0
179	126949	b'Why do other-made cars like Mercedes-Benz , BMW feel very solid when driven compared to most German makers ?'	b'Why do German-made cars like Mercedes-Benz , BMW feel very solid when driven compared to most other makers ?'	 very solid 	 solid 	O O O O O O O O O B E O O O O O O O O	O O O O O O O O O O S O O O O O O O O	0
181	148164	"b""Why do people want Hillary Clinton to be president when it 's just going to be four more years of Obama ?"""	"b""Why do people want Obama to be president when it 's just going to be four more years of Hillary Clinton ?"""	 's just going 	 just going 	O O O O O O O O O O O B I E O O O O O O O O	O O O O O O O O O O O B E O O O O O O O O O	0
181	273159	"b""Why do people want Hillary Clinton to be president when it 's just going to be four more years of Obama ?"""	"b""Why do people want Obama to be president when it 's just going to be four more years of Hillary Clinton ?"""	 just going 	 's just going 	O O O O O O O O O O O O B E O O O O O O O O	O O O O O O O O O O B I E O O O O O O O O O	0
181	281940	"b""Why do people want Hillary Clinton to be president when it 's just going to be four more years of Obama ?"""	"b""Why do people want Obama to be president when it 's just going to be four more years of Hillary Clinton ?"""	 's just 	 just 	O O O O O O O O O O O B E O O O O O O O O O	O O O O O O O O O O O S O O O O O O O O O O	0
189	273990	b'Is the open parser API Instapaper ? If not is there something similar ? Readability is not an option for me , too many websites do not get parsed properly .'	b'Is the Instapaper parser API open ? If not is there something similar ? Readability is not an option for me , too many websites do not get parsed properly .'	 something similar 	 similar 	O O O O O O O O O O O B E O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O S O O O O O O O O O O O O O O O O O O	0
192	86460	"b""Why do we feel like we should break something when we are angry , but hug and kiss when we 're happy ?"""	"b""Why do we feel like we should break something when we 're angry , but hug and kiss when we are happy ?"""	 we 're happy 	 we are happy 	O O B O O O O O O O O O O O O O O O O O I E O	O O B O O O O O O O O O O O O O O O O O I E O	1
