	SNLI_PairID	PPDB_id	sent1	sent2	paraphrase1	paraphrase2	gold_label
0	3490789179.jpg#0r1c	808939.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man is giving another man a piggyback ride.	 another man 	 man 	contradiction
1	3490789179.jpg#0r4c	808939.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man is sleeping under a bench.	 another man 	 man 	contradiction
2	3490789179.jpg#0r2e	808939.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man watches another man.	 another man 	 man 	entailment
3	3490789179.jpg#0r3c	808939.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	The man is watching a woman.	 another man 	 man 	contradiction
4	3490789179.jpg#0r4e	808939.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man is standing on top of a cart.	 another man 	 man 	entailment
5	3490789179.jpg#0r3n	808938.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	The men are outside.	 another man 	 men 	neutral
6	3490789179.jpg#0r2c	808939.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man eats octopus.	 another man 	 man 	contradiction
7	3490789179.jpg#0r4n	808939.0	A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.	A man is standing on a cart full of groceries.	 another man 	 man 	neutral
8	6526219567.jpg#1r3n	808939.0	A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	A man and a woman are happily standing.	 another man 	 man 	neutral
9	6526219567.jpg#1r3e	808939.0	A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	A man and a woman are standing.	 another man 	 man 	entailment
10	6526219567.jpg#1r5c	808939.0	A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	The man and woman are standing by a swimming pool.	 another man 	 man 	contradiction
11	6526219567.jpg#1r3c	808939.0	A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.	A man and a woman are sitting.	 another man 	 man 	contradiction
12	6630195863.jpg#0r1n	300435.0	A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man is taking photos of his son doing tricks on the skateboard.	 photograph of 	 photos of 	neutral
13	6630195863.jpg#0r1e	300435.0	A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.	A man is taking photos of skateboarding tricks.	 photograph of 	 photos of 	entailment
